,date,id_station,min_entre,max_entre,min_exit,max_exit
198,12-28-13,A050_R088_00-02-01,1835098.0,1835098.0,1001259.0,1001260.0
199,12-28-13,A050_R088_00-03-00,962660.0,962660.0,463219.0,463219.0
200,12-28-13,A050_R088_00-03-01,10049883.0,10049883.0,1977675.0,1977675.0
201,12-28-13,A050_R088_00-03-02,5971203.0,5971203.0,1729687.0,1729687.0
202,12-28-13,A050_R088_00-03-03,589057.0,589057.0,418858.0,418858.0
203,12-28-13,A050_R088_00-05-00,18424.0,18424.0,190216.0,190216.0
204,12-28-13,A050_R088_00-05-01,17343.0,17343.0,83568.0,83568.0
205,12-28-13,A050_R088_00-05-02,11294.0,11294.0,42706.0,42706.0
206,12-28-13,A050_R088_00-05-03,17359.0,17359.0,47090.0,47090.0
207,12-28-13,A050_R088_00-06-00,420581.0,420581.0,70712.0,70712.0
208,12-28-13,A050_R088_00-06-01,993191.0,993191.0,88365.0,88365.0
209,12-28-13,A050_R088_00-06-02,1097326.0,1097326.0,172146.0,172146.0
210,12-28-13,A050_R088_00-06-03,383.0,383.0,0.0,0.0
211,12-28-13,A050_R088_00-06-04,0.0,0.0,215.0,215.0
212,12-28-13,A054_R227_01-00-00,4163495.0,4163495.0,6629135.0,6629175.0
213,12-28-13,A054_R227_01-00-01,2523114.0,2523114.0,1938244.0,1938250.0
214,12-28-13,A054_R227_01-00-02,1264199.0,1264205.0,381498.0,381503.0
215,12-28-13,A054_R227_01-03-00,2748938.0,2748938.0,1065314.0,1065322.0
216,12-28-13,A054_R227_01-03-01,1770250.0,1770251.0,320946.0,320967.0
217,12-28-13,A054_R227_01-06-00,2159228.0,2159228.0,543973.0,543977.0
218,12-28-13,A055_R227_00-00-00,465630.0,465630.0,141888.0,141890.0
219,12-28-13,A055_R227_00-00-01,1843286.0,1843286.0,731922.0,731922.0
220,12-28-13,A055_R227_00-00-02,415546.0,415546.0,57316.0,57317.0
221,12-28-13,A055_R227_00-00-03,2619611.0,2619612.0,928564.0,928570.0
222,12-28-13,A055_R227_00-00-04,3476407.0,3476407.0,1652724.0,1652733.0
223,12-28-13,A058_R001_01-00-00,228638.0,228643.0,399685.0,399699.0
224,12-28-13,A058_R001_01-00-01,256439.0,256446.0,264561.0,264565.0
225,12-28-13,A058_R001_01-00-02,2921052.0,2921056.0,656583.0,656584.0
226,12-28-13,A058_R001_01-00-03,212045.0,212047.0,132305.0,132305.0
227,12-28-13,A058_R001_01-06-00,117446624.0,117446624.0,5823.0,5823.0
228,12-28-13,A058_R001_01-06-01,954027.0,954031.0,2115591.0,2115603.0
229,12-28-13,A058_R001_01-06-02,1763.0,1763.0,695.0,695.0
230,12-28-13,A060_R001_00-00-00,534295.0,534295.0,786983.0,786984.0
231,12-28-13,A060_R001_00-00-01,479899.0,479899.0,482096.0,482096.0
232,12-28-13,A060_R001_00-00-02,408257.0,408257.0,330877.0,330877.0
